Rank,Team,Conf,W-L,Pyth,AdjO,AdjD,AdjT,Luck,Pyth,OppO,OppD,Pyth
245,Louisiana,Tech,WAC,12-20,.3026,93.2,301,100.2,125,67.2,144,-.006
246,Mount,St.,Mary's,NEC,11-21,.2998,93.5,296,100.7,132,65.3,243
247,Lamar,Slnd,13-17,.2995,98.0,239,105.5,246,74.5,4,-.126,340
248,Texas,St.,Slnd,16-16,.2990,99.5,212,107.2,273,73.6,5,+.036
249,Southern,Utah,Sum,11-19,.2973,100.2,195,107.9,286,67.3,130,-.014
250,UC,Davis,BW,10-20,.2963,101.3,171,109.2,306,68.2,92,-.095
251,Youngstown,St.,Horz,9-21,.2822,98.5,232,106.8,271,70.1,39,-.024
252,Southeastern,Louisiana,Slnd,15-14,.2815,97.6,248,105.9,254,65.6,227,+.067
253,Eastern,Washington,BSky,10-20,.2805,98.0,240,106.4,263,65.3,246,-.032
254,Northwestern,St.,Slnd,18-14,.2791,99.6,209,108.2,293,72.5,11,+.100
255,Montana,St.,BSky,13-18,.2775,97.9,241,106.4,262,65.8,218,+.006
256,Utah,Valley,GWC,19-11,.2773,99.1,220,107.7,283,66.8,163,+.011
257,Illinois,Chicago,Horz,7-24,.2741,94.1,292,102.4,180,66.1,203,-.041
258,Presbyterian,BSth,13-18,.2724,99.1,219,107.9,285,60.7,339,+.046,63
259,Campbell,ASun,12-19,.2704,95.3,278,103.9,220,65.6,228,-.060,308
260,Chattanooga,SC,16-16,.2697,97.5,250,106.3,261,69.8,42,+.134,4
261,UT,Arlington,Slnd,13-16,.2696,95.3,282,103.9,219,68.3,80,-.072
262,Coppin,St.,MEAC,16-14,.2694,97.0,255,105.8,253,69.3,50,+.022
263,Cal,St.,Fullerton,BW,11-20,.2655,102.7,144,112.2,334,69.3,52
264,Navy,Pat,11-20,.2639,92.3,311,100.9,135,70.6,31,-.038,273
265,Seattle,ind,11-20,.2615,91.3,319,99.9,118,73.0,6,+.046,64
266,Sacred,Heart,NEC,11-18,.2614,98.1,238,107.4,276,66.8,162,-.013
267,St.,Francis,PA,NEC,9-21,.2582,99.0,221,108.6,301,66.6,171
268,Portland,St.,BSky,14-16,.2548,103.0,136,113.1,338,68.1,95,+.065
269,The,Citadel,SC,10-22,.2536,100.7,186,110.6,319,63.4,312,-.055
270,UC,Riverside,BW,12-19,.2510,96.9,258,106.6,265,65.6,230,+.062
271,Wake,Forest,ACC,8-24,.2502,97.9,243,107.7,281,70.4,36,+.009
272,UNC,Greensboro,SC,7-24,.2488,98.4,234,108.3,297,70.7,29,-.031
273,UMKC,Sum,16-14,.2458,100.5,191,110.8,323,65.5,234,+.114,10
274,Gardner,Webb,BSth,11-21,.2450,93.1,302,102.7,187,64.8,260,-.016
275,Troy,SB,8-21,.2447,95.9,272,105.8,252,71.3,20,-.037,269
276,Towson,CAA,4-26,.2389,104.5,108,115.5,342,66.3,186,-.070,317
277,Army,Pat,11-19,.2355,97.7,245,108.2,294,68.5,73,-.030,256
278,Monmouth,NEC,9-21,.2335,93.3,298,103.4,210,63.9,295,-.029,250
279,Florida,Gulf,Coast,ASun,10-20,.2334,93.0,304,103.1,200,68.6,69
280,Savannah,St.,ind,12-18,.2329,88.5,331,98.1,89,64.0,292,+.031
Strength,of,Schedule,NCSOS,,,,,,,,,
Rank,Team,Conf,W-L,Pyth,AdjO,AdjD,AdjT,Luck,Pyth,OppO,OppD,Pyth
281,Northern,Illinois,MAC,9-21,.2312,96.7,261,107.3,274,68.8,62,-.029
282,Texas,Southern,SWAC,19-13,.2282,91.6,316,101.8,161,66.2,193,+.136
283,Central,Michigan,MAC,10-21,.2237,90.5,324,100.8,134,64.7,264,-.005
284,FIU,SB,11-19,.2168,99.2,217,110.9,327,69.4,48,-.013,213
285,Eastern,Michigan,MAC,9-22,.2166,88.2,334,98.7,99,67.4,128,-.109
286,Southeast,Missouri,St.,OVC,10-22,.2165,96.6,262,108.1,292,67.5,123
287,Tennessee,Martin,OVC,12-21,.2155,96.8,259,108.4,298,69.2,56,-.002
288,Bethune,Cookman,MEAC,21-13,.2146,99.0,222,110.8,325,61.8,329,+.147
289,Jackson,St.,SWAC,17-15,.2136,94.7,288,106.1,256,64.6,270,-.001
290,Jacksonville,St.,OVC,5-25,.2127,95.3,280,106.8,270,62.9,322,-.078
291,San,Diego,WCC,6-24,.2095,92.8,305,104.2,224,64.5,271,-.030
292,Fordham,A10,7-21,.2061,96.3,270,108.3,295,68.4,79,+.012,147
293,North,Carolina,A&T,MEAC,15-17,.2059,98.1,236,110.4,314,68.9,61
294,South,Dakota,GWC,18-15,.2019,98.3,235,110.8,326,71.8,15,-.031
295,Norfolk,St.,MEAC,12-20,.1997,96.4,268,108.7,303,69.7,44,-.009
296,Alabama,St.,16,SWAC,17-18,.1969,92.4,309,104.4,230,65.2,247
297,South,Alabama,SB,12-16,.1959,98.4,233,111.2,331,68.4,75,+.041
298,New,Hampshire,AE,12-18,.1950,89.8,329,101.6,154,62.9,317,+.029
299,Bryant,NEC,9-21,.1929,99.7,206,112.9,336,66.1,198,+.033,93
300,North,Dakota,GWC,19-15,.1896,90.9,323,103.1,201,67.6,115,+.094
301,Idaho,St.,BSky,9-20,.1858,97.6,247,111.0,329,65.1,250,-.003
302,Stetson,ASun,8-23,.1845,95.3,277,108.5,300,66.6,170,+.007,161
303,Niagara,MAAC,9-23,.1840,90.3,326,102.7,190,68.2,88,+.020,130
